departamento;RAZONA_CUANTITAT;COMUNI_ESCRITA;LECTURA_CRITICA;INGLES;COMPETEN_CIUDADA
amazonas;127,18;130,29;133,76;133,39;134,44
antioquia;148,27;136,63;152,39;157,86;150,68
arauca;137,43;124,95;138;137,97;137,45
atlantico;142,85;132,7;147,96;157,76;144,38
bogota d.c. (ct);152,44;141,28;155,13;164,35;154,65
bolivar;139,33;128,77;144,83;150,74;140,97
boyaca;151,49;136,03;150,92;153,77;151,54
caldas;147,27;134,11;150,92;153,83;150,74
caqueta;133,68;127,48;136,97;136,32;135,13
casanare;142,85;128,48;140,88;144,25;140,19
cauca;138,43;129,96;142,05;142,03;141,19
cesar;136,39;125,28;141,72;142,14;138,89
choco;111,68;103,26;120,35;122,41;116,87
cordoba;135,09;126,51;139,99;142,8;136,98
cundinamarca;147,87;136,35;149,01;153,59;148,65
guainia;129,42;126,55;135,67;130,48;132,73
guaviare;136,91;121,47;135,81;134,92;135,59
huila;139,68;128,38;141,12;144,83;138,61
guajira;128,06;124,35;134,83;134,98;130,93
magdalena;137,79;129,79;143,36;146,17;140,74
meta;141,87;127,69;142,53;147,2;141,89
narino;143,33;132,44;145,18;144,91;142,57
norte de santander;144,37;128,72;144,7;146,46;142,55
putumayo;134,17;122,45;135,81;136,41;133,48
quindio;147,07;138,02;151,3;157,85;149,85
risaralda;144,35;135,43;148,01;155,95;147,33
san andres;126,29;123,45;132,64;160,83;129,72
santander;152,08;134,61;151,66;156,61;150,07
sucre;136,75;131;141,82;142,77;139,09
tolima;137,77;131,05;140,73;145,14;139,71
valle;144,41;133,36;148,39;154,68;146,39
vaupes;123,46;128,38;126,28;129,3;130,09
vichada;129,45;122,07;131,16;129,81;128,88
